Total_population,Per_White,Per_Black,Per_BS,Per_MS,Median_Income,distances$V1,data$State,data$Place
75557,0.6681048744656353,0.1690114747806292,0.1837817806424289,0.15102505393279247,74901,0,Illinois,Evanston city
81235,0.6463839478057487,0.1975626269465132,0.21347941158367698,0.13387086846802487,76637,0.5848538294964001,Michigan,Farmington Hills city
58766,0.7751931388898342,0.1364734710546915,0.18612803321648572,0.12896913181091108,82062,0.7946401125235236,Maryland,Towson CDP
52229,0.6860556395872025,0.19789771965766145,0.21193206839112372,0.17174366731126386,87271,0.8342024179054396,Illinois,Oak Park village
58835,0.6554771819495199,0.08831477861816946,0.21930823489419562,0.14085153395087957,88667,0.9134653166627289,Michigan,Novi city
120179,0.601760706945473,0.08557235457109812,0.2100366952628995,0.1402241656196174,75709,0.9779381213567389,California,Berkeley city
59234,0.7253266704932978,0.09735962453996015,0.15700442313536145,0.11874936691764865,67426,1.002804812527356,North Carolina,Chapel Hill town
57700,0.7711785095320624,0.08703639514731369,0.17880415944540728,0.1259792027729636,86204,1.0057823329611177,Massachusetts,Medford city
14250,0.6800701754385965,0.10224561403508772,0.2,0.15375438596491228,75913,1.011450785452507,New Jersey,Highland Park borough
62832,0.7355805958747135,0.06433027756557168,0.1911287242169595,0.12089381207028266,83249,1.0371196043873876,Massachusetts,Waltham city
119303,0.7202752655004484,0.06967972305809578,0.16240161605324258,0.1475486785747215,61247,1.0847914542625818,Michigan,Ann Arbor city
110893,0.6694110538988034,0.10835670421036495,0.19495369410152127,0.18317657561793801,89145,1.0865018867947227,Massachusetts,Cambridge city
33426,0.7479806138933764,0.1755220487046012,0.22943217854364867,0.12714653263926284,81170,1.0902256488212656,Maryland,Pikesville CDP
58404,0.5970481473871653,0.12540236970070542,0.1805184576398877,0.11108828162454626,87550,1.0939737804488743,New York,White Plains city
66420,0.579223125564589,0.10663956639566395,0.19271303824149352,0.14852454080096356,100436,1.1032761417630421,Maryland,Rockville city
52382,0.7135084571035852,0.09911801763964721,0.24395784811576496,0.12721927379634226,78863,1.1217207553104045,Georgia,Brookhaven city
79983,0.7717139892227098,0.06596401735368766,0.23703787054749134,0.15468287010989834,84722,1.123277604791753,Massachusetts,Somerville city
36753,0.7931053247353957,0.06388594128370473,0.20216036786112698,0.16809512148668135,70567,1.1339160224304201,New York,Brighton CDP
83336,0.6920538542766631,0.0376667946625708,0.21449313621964097,0.1459153307094173,93017,1.1423431938776951,Michigan,Troy city
21099,0.7097018816057633,0.1234655670884876,0.19981989667756767,0.13896393193990236,56573,1.1426500661761152,North Carolina,Carrboro town
22989,0.7109922136674062,0.03945365174648745,0.19422332419852972,0.14241593805733177,74568,1.1514231550814766,Michigan,Okemos CDP
39432,0.6244167173868939,0.07714546561168593,0.22613613308987623,0.1281446540880503,86997,1.1799636853705153,California,Culver City city
67417,0.48210392037616623,0.18045893469006333,0.18053309995995076,0.11783378079712832,85773,1.1833339295712286,Maryland,Gaithersburg city
33657,0.809222450010399,0.06272097929108358,0.19466975666280417,0.14006001723267078,85619,1.202831877981548,New York,Long Beach city
29095,0.7796184911496821,0.13442172194535143,0.17463481697886235,0.11527753909606461,83043,1.2068841302538411,Illinois,O'Fallon city
47079,0.7398840247243994,0.14826143291063956,0.221733681683978,0.11707980203487754,92197,1.2164963834803284,Alabama,Madison city
7057,0.632988522034859,0.2458551792546408,0.20362760379764772,0.1400028340654669,65884,1.2175080635279847,New York,Nyack village
63360,0.8012310606060606,0.06483585858585858,0.20209911616161616,0.13980429292929292,95298,1.2191033454793783,Connecticut,West Hartford CDP
9322,0.6608024029178288,0.19148251448187084,0.19180433383394122,0.1508260030036473,54607,1.2298316607572386,Maryland,Leisure World CDP
22022,0.689265280174371,0.2166469893742621,0.21010807374443738,0.1259195350104441,92263,1.2332559543386936,Georgia,Decatur city
73458,0.8032889542323505,0.043575920934411504,0.21887336981676606,0.13428081352609655,87475,1.2403424442419535,Michigan,Rochester Hills city
10560,0.671875,0.12367424242424242,0.23551136363636363,0.14659090909090908,66453,1.2430253861312686,Michigan,Farmington city
6656,0.7397836538461539,0.08052884615384616,0.1720252403846154,0.13792067307692307,70354,1.243531708618697,New York,Tuckahoe village
373,0.7801608579088471,0.19839142091152814,0.1742627345844504,0.1447721179624665,80250,1.2498408382499755,Mississippi,Taylor village
5911,0.7193368296396548,0.17357469125359498,0.22635763830147182,0.145998984943326,86399,1.2596727886054835,Pennsylvania,Wyndmoor CDP
4393,0.595265194627817,0.09401320282267243,0.19303437286592307,0.13658092419758708,82500,1.260737116956648,Virginia,Dulles Town Center CDP
41440,0.7646235521235522,0.14273648648648649,0.17951254826254825,0.1064430501930502,87116,1.2615541989450696,Maryland,Catonsville CDP
128851,0.6240619009553671,0.14602913442658574,0.1846085789012115,0.10864486887955856,84893,1.277383605567883,Connecticut,Stamford city
20789,0.6421184280148156,0.18254846312953965,0.1880802347395257,0.11265573139641157,60234,1.277739550123938,Maryland,Cockeysville CDP
40479,0.6335136737567628,0.2461276217297858,0.18493539860174413,0.11986462116158995,97469,1.2834366752829667,Maryland,Odenton CDP
79877,0.5995968802033126,0.19956933785695508,0.1412546790690687,0.10026665998973422,77320,1.2870901127267365,New York,New Rochelle city
39151,0.6399325687721897,0.22073510255165896,0.173788664401931,0.10050828842175168,81143,1.2873601288413383,Maryland,Annapolis city
11743,0.742910670186494,0.119475432172358,0.18095886911351444,0.12032700332112747,86026,1.295554059269399,Ohio,Beachwood city
19327,0.754954209137476,0.0704713613080147,0.17804108242355254,0.13312981838878254,91161,1.3069494911282031,New York,Mamaroneck village
17902,0.7926488660484862,0.08842587420399955,0.21332811976315497,0.12668975533459947,79206,1.3136867014659392,New Jersey,Tinton Falls borough
63929,0.6464828168749707,0.12307403525786419,0.2524675812229192,0.14084374853352938,98489,1.3153410479383663,Georgia,Alpharetta city
5560,0.7320143884892086,0.07877697841726619,0.220863309352518,0.15575539568345323,68654,1.3187005083780692,Minnesota,Falcon Heights city
577,0.7538994800693241,0.08492201039861352,0.17677642980935876,0.1386481802426343,68550,1.3230151303487643,Maryland,Bryantown CDP
33447,0.7298113433192812,0.08840852692319191,0.2169103357550752,0.10885879152091368,80757,1.329900581998519,Illinois,Woodridge village
71232,0.7298545597484277,0.06725909703504043,0.1907148472596586,0.09810197663971248,73182,1.340587748987966,Massachusetts,Framingham CDP
